| # | Elapsed (Countdown) | Time (UTC) | UP Shares on Book (Bought) & Price | DOWN Shares on Book (Bought) & Price | Total Cost | Execution Gap | How Soon It Dried Up | Guaranteed Profit |
| 75 | T+081s (T-219s) | 22:06:21 | 19.0 sh (Bt 9.0) @ $0.15 | 413.9 sh (Bt 40.0) @ $0.84 | $0.995 (100¢) | 1.0s (Instant) | Dried up in 3s | +$0.005 (+0.5%) |
| 76 | T+084s (T-216s) | 22:06:24 | 26.1 sh (Bt 4.1) @ $0.24 | 12.4 sh (Bt 12.4) @ $0.75 | $0.990 (99¢) | 0ms (Instant) | Dried up in 18s | +$0.010 (+1.0%) |
| 77 | T+084s (T-216s) | 22:06:24 | 26.1 sh (Bt 4.1) @ $0.24 | 9.6 sh (Bt 2.0) @ $0.73 | $0.970 (97¢) | 1.0s (Instant) | Dried up in 1s | +$0.030 (+3.1%) |
| 78 | T+084s (T-216s) | 22:06:24 | 26.1 sh (Bt 4.1) @ $0.24 | 9.6 sh (Bt 5.8) @ $0.72 | $0.960 (96¢) | 1.0s (Instant) | Dried up in 1s | +$0.040 (+4.2%) |
| 79 | T+084s (T-216s) | 22:06:24 | 248.4 sh (Bt 19.0) @ $0.16 | 12.4 sh (Bt 12.4) @ $0.75 | $0.910 (91¢) | 0ms (Instant) | Dried up in 18s | +$0.090 (+9.9%) |
| 80 | T+084s (T-216s) | 22:06:24 | 248.4 sh (Bt 19.0) @ $0.16 | 9.6 sh (Bt 2.0) @ $0.73 | $0.890 (89¢) | 1.0s (Instant) | Dried up in 1s | +$0.110 (+12.4%) |
| 81 | T+084s (T-216s) | 22:06:24 | 248.4 sh (Bt 19.0) @ $0.16 | 9.6 sh (Bt 5.8) @ $0.72 | $0.880 (88¢) | 1.0s (Instant) | Dried up in 1s | +$0.120 (+13.6%) |
| 82 | T+093s (T-207s) | 22:06:33 | 45.0 sh (Bt 35.0) @ $0.41 | 25.4 sh (Bt 5.1) @ $0.58 | $0.990 (99¢) | 0ms (Instant) | Dried up in 1s | +$0.010 (+1.0%) |
| 83 | T+093s (T-207s) | 22:06:33 | 11.3 sh (Bt 5.1) @ $0.37 | 25.4 sh (Bt 5.1) @ $0.58 | $0.950 (95¢) | 1.0s (Instant) | Dried up in 3s | +$0.050 (+5.3%) |
| 84 | T+093s (T-207s) | 22:06:33 | 56.1 sh (Bt 40.8) @ $0.39 | 25.4 sh (Bt 5.1) @ $0.58 | $0.970 (97¢) | 1.0s (Instant) | Dried up in 1s | +$0.030 (+3.1%) |
| 85 | T+094s (T-206s) | 22:06:34 | 11.3 sh (Bt 5.1) @ $0.37 | 25.4 sh (Bt 20.3) @ $0.58 | $0.950 (95¢) | 0ms (Instant) | Dried up in 2s | +$0.050 (+5.3%) |
| 86 | T+094s (T-206s) | 22:06:34 | 56.1 sh (Bt 40.8) @ $0.39 | 25.4 sh (Bt 20.3) @ $0.58 | $0.970 (97¢) | 0ms (Instant) | Dried up in 0ms | +$0.030 (+3.1%) |
| 87 | T+109s (T-191s) | 22:06:49 | 18.5 sh (Bt 18.5) @ $0.16 | 22.0 sh (Bt 22.0) @ $0.83 | $0.992 (99¢) | 0ms (Instant) | Dried up in 8s | +$0.008 (+0.8%) |
| 88 | T+109s (T-191s) | 22:06:49 | 18.5 sh (Bt 18.5) @ $0.16 | 90.0 sh (Bt 22.0) @ $0.82 | $0.978 (98¢) | 0ms (Instant) | Dried up in 8s | +$0.022 (+2.2%) |
| 89 | T+109s (T-191s) | 22:06:49 | 18.5 sh (Bt 18.5) @ $0.16 | 90.0 sh (Bt 22.0) @ $0.81 | $0.972 (97¢) | 0ms (Instant) | Dried up in 8s | +$0.028 (+2.9%) |
| 90 | T+109s (T-191s) | 22:06:49 | 18.5 sh (Bt 18.5) @ $0.16 | 119.6 sh (Bt 22.0) @ $0.80 | $0.960 (96¢) | 0ms (Instant) | Dried up in 8s | +$0.040 (+4.2%) |
| 91 | T+111s (T-189s) | 22:06:51 | 18.9 sh (Bt 18.9) @ $0.19 | 88.0 sh (Bt 22.0) @ $0.80 | $0.990 (99¢) | 1.0s (Instant) | Dried up in 1s | +$0.010 (+1.0%) |
| 92 | T+111s (T-189s) | 22:06:51 | 141.6 sh (Bt 5.2) @ $0.20 | 97.6 sh (Bt 22.0) @ $0.79 | $0.990 (99¢) | 1.0s (Instant) | Dried up in 1s | +$0.010 (+1.0%) |
| 93 | T+111s (T-189s) | 22:06:51 | 18.9 sh (Bt 18.9) @ $0.19 | 97.6 sh (Bt 22.0) @ $0.79 | $0.980 (98¢) | 1.0s (Instant) | Dried up in 1s | +$0.020 (+2.0%) |
| 94 | T+123s (T-177s) | 22:07:03 | 28.0 sh (Bt 18.0) @ $0.11 | 44.0 sh (Bt 22.0) @ $0.87 | $0.980 (98¢) | 0ms (Instant) | Dried up in 18s | +$0.020 (+2.0%) |
| 95 | T+130s (T-170s) | 22:07:10 | 46.4 sh (Bt 22.0) @ $0.08 | 22.0 sh (Bt 22.0) @ $0.88 | $0.960 (96¢) | 0ms (Instant) | Dried up in 5s | +$0.040 (+4.2%) |
| 96 | T+130s (T-170s) | 22:07:10 | 80.7 sh (Bt 27.0) @ $0.10 | 22.0 sh (Bt 22.0) @ $0.88 | $0.982 (98¢) | 0ms (Instant) | Dried up in 6s | +$0.018 (+1.8%) |
| 97 | T+132s (T-168s) | 22:07:12 | 110.0 sh (Bt 26.7) @ $0.10 | 22.0 sh (Bt 22.0) @ $0.89 | $0.989 (99¢) | 1.0s (Instant) | Dried up in 4s | +$0.011 (+1.1%) |
| 98 | T+132s (T-168s) | 22:07:12 | 158.3 sh (Bt 24.4) @ $0.09 | 60.4 sh (Bt 22.0) @ $0.90 | $0.990 (99¢) | 1.0s (Instant) | Dried up in 4s | +$0.010 (+1.0%) |
| 99 | T+132s (T-168s) | 22:07:12 | 158.3 sh (Bt 24.4) @ $0.09 | 22.0 sh (Bt 22.0) @ $0.89 | $0.980 (98¢) | 1.0s (Instant) | Dried up in 3s | +$0.020 (+2.0%) |
| 100 | T+135s (T-165s) | 22:07:15 | 77.8 sh (Bt 53.3) @ $0.08 | 66.4 sh (Bt 38.4) @ $0.91 | $0.992 (99¢) | 1.0s (Instant) | Dried up in 1s | +$0.008 (+0.8%) |
| 101 | T+138s (T-162s) | 22:07:18 | 16.4 sh (Bt 6.0) @ $0.13 | 9.0 sh (Bt 9.0) @ $0.83 | $0.962 (96¢) | 1.0s (Instant) | Dried up in 6s | +$0.038 (+4.0%) |
| 102 | T+138s (T-162s) | 22:07:18 | 16.4 sh (Bt 6.0) @ $0.13 | 49.0 sh (Bt 22.0) @ $0.85 | $0.982 (98¢) | 1.0s (Instant) | Dried up in 4s | +$0.018 (+1.8%) |
| 103 | T+138s (T-162s) | 22:07:18 | 16.4 sh (Bt 10.4) @ $0.14 | 9.0 sh (Bt 9.0) @ $0.83 | $0.965 (96¢) | 1.0s (Instant) | Dried up in 6s | +$0.035 (+3.6%) |
| 104 | T+138s (T-162s) | 22:07:18 | 16.4 sh (Bt 10.4) @ $0.14 | 49.0 sh (Bt 22.0) @ $0.85 | $0.985 (98¢) | 1.0s (Instant) | Dried up in 4s | +$0.015 (+1.5%) |
| 105 | T+141s (T-159s) | 22:07:21 | 44.0 sh (Bt 44.0) @ $0.14 | 49.0 sh (Bt 9.0) @ $0.85 | $0.990 (99¢) | 1.0s (Instant) | Dried up in 1s | +$0.010 (+1.0%) |
| 106 | T+144s (T-156s) | 22:07:24 | 33.8 sh (Bt 22.0) @ $0.17 | 9.0 sh (Bt 9.0) @ $0.75 | $0.920 (92¢) | 1.0s (Instant) | Dried up in 7s | +$0.080 (+8.7%) |
| 107 | T+144s (T-156s) | 22:07:24 | 33.8 sh (Bt 22.0) @ $0.17 | 22.0 sh (Bt 22.0) @ $0.76 | $0.930 (93¢) | 1.0s (Instant) | Dried up in 1s | +$0.070 (+7.5%) |
| 108 | T+144s (T-156s) | 22:07:24 | 33.8 sh (Bt 22.0) @ $0.17 | 22.0 sh (Bt 22.0) @ $0.80 | $0.965 (96¢) | 1.0s (Instant) | Dried up in 1s | +$0.035 (+3.6%) |
| 109 | T+145s (T-155s) | 22:07:25 | 22.0 sh (Bt 22.0) @ $0.19 | 9.0 sh (Bt 9.0) @ $0.75 | $0.940 (94¢) | 0ms (Instant) | Dried up in 6s | +$0.060 (+6.4%) |
| 110 | T+145s (T-155s) | 22:07:25 | 33.8 sh (Bt 11.8) @ $0.17 | 9.0 sh (Bt 9.0) @ $0.75 | $0.920 (92¢) | 0ms (Instant) | Dried up in 6s | +$0.080 (+8.7%) |
| 111 | T+145s (T-155s) | 22:07:25 | 22.0 sh (Bt 22.0) @ $0.19 | 22.0 sh (Bt 22.0) @ $0.76 | $0.950 (95¢) | 0ms (Instant) | Dried up in 0ms | +$0.050 (+5.3%) |
| 112 | T+145s (T-155s) | 22:07:25 | 33.8 sh (Bt 11.8) @ $0.17 | 22.0 sh (Bt 22.0) @ $0.76 | $0.930 (93¢) | 0ms (Instant) | Dried up in 0ms | +$0.070 (+7.5%) |
| 113 | T+145s (T-155s) | 22:07:25 | 22.0 sh (Bt 22.0) @ $0.19 | 22.0 sh (Bt 22.0) @ $0.80 | $0.985 (98¢) | 0ms (Instant) | Dried up in 0ms | +$0.015 (+1.5%) |
| 114 | T+145s (T-155s) | 22:07:25 | 33.8 sh (Bt 11.8) @ $0.17 | 22.0 sh (Bt 22.0) @ $0.80 | $0.965 (96¢) | 0ms (Instant) | Dried up in 0ms | +$0.035 (+3.6%) |
